epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6276,2.04573,3.31759,2.20556,0.44302,0.3949,0.38157,0.19726,2.23601,2.73441,2.26553,0.0701705,0.00331439,0.00331439
2,65.5258,1.75574,2.33339,1.9013,0.40974,0.39542,0.37312,0.13432,2.46812,2.72949,2.52693,0.0399511,0.00642835,0.00642835
3,97.3512,1.75133,2.28068,1.91067,0.60501,0.3579,0.38748,0.17776,2.3647,2.88224,2.50677,0.0095117,0.00932231,0.00932231
4,127.953,1.80404,2.36584,1.95082,0.30767,0.41336,0.34697,0.20934,2.02772,2.72687,2.09763,0.00901,0.00901,0.00901
5,159.715,1.80698,2.35465,1.96408,0.4589,0.43229,0.405,0.23581,1.98964,2.51431,2.09871,0.00868,0.00868,0.00868
6,190.497,1.7492,2.26999,1.92666,0.65114,0.48229,0.46286,0.24027,2.05456,2.37873,2.14517,0.00835,0.00835,0.00835
7,222.209,1.72161,2.22343,1.90816,0.54027,0.48165,0.48412,0.29104,1.91844,2.19198,1.98546,0.00802,0.00802,0.00802
8,252.501,1.6994,2.17523,1.87474,0.50102,0.5093,0.48604,0.29287,1.91661,2.13587,2.00419,0.00769,0.00769,0.00769
9,283.063,1.67667,2.11899,1.85332,0.57385,0.50819,0.51526,0.31737,1.8709,2.12543,1.92661,0.00736,0.00736,0.00736
10,313.444,1.65774,2.10292,1.8411,0.57057,0.54106,0.55248,0.32141,1.8981,2.0387,1.99542,0.00703,0.00703,0.00703
11,343.745,1.60238,1.981,1.79213,0.55621,0.53259,0.54328,0.34733,1.80147,2.01214,1.89174,0.0067,0.0067,0.0067
12,374.152,1.59502,1.94305,1.77908,0.5337,0.56784,0.55453,0.36104,1.77877,1.90894,1.84787,0.00637,0.00637,0.00637
13,404.607,1.55838,1.91165,1.75841,0.60165,0.56904,0.57976,0.40567,1.62441,1.79112,1.73863,0.00604,0.00604,0.00604
14,435.186,1.56415,1.90396,1.77307,0.56088,0.58068,0.573,0.39254,1.79807,1.88661,1.90896,0.00571,0.00571,0.00571
15,465.291,1.53378,1.86865,1.75115,0.61029,0.59037,0.59483,0.40982,1.64975,1.79066,1.73414,0.00538,0.00538,0.00538
16,495.525,1.50562,1.79855,1.71939,0.64705,0.58472,0.59946,0.4071,1.638,1.78013,1.73533,0.00505,0.00505,0.00505
17,525.801,1.48554,1.76509,1.70162,0.63077,0.63625,0.63564,0.43617,1.62691,1.67079,1.73746,0.00472,0.00472,0.00472
18,556.003,1.47445,1.73126,1.68323,0.6038,0.62365,0.61607,0.42059,1.63313,1.76359,1.72561,0.00439,0.00439,0.00439
19,586.146,1.46174,1.68388,1.67462,0.62083,0.62955,0.64036,0.43354,1.60365,1.64066,1.69978,0.00406,0.00406,0.00406
20,616.237,1.46617,1.69393,1.68835,0.63678,0.63976,0.65141,0.46061,1.51975,1.57673,1.63319,0.00373,0.00373,0.00373
21,646.657,1.33802,1.54739,1.68846,0.64301,0.61873,0.63322,0.45334,1.57746,1.62076,1.68929,0.0034,0.0034,0.0034
22,677.283,1.31382,1.4697,1.67301,0.67475,0.60062,0.64341,0.45622,1.5406,1.56939,1.65549,0.00307,0.00307,0.00307
23,707.885,1.32718,1.44758,1.66994,0.65085,0.64,0.65402,0.47272,1.48507,1.56181,1.62426,0.00274,0.00274,0.00274
24,738.522,1.29527,1.40694,1.64785,0.68727,0.62158,0.65271,0.47951,1.43365,1.52282,1.5639,0.00241,0.00241,0.00241
25,768.716,1.2718,1.38905,1.6224,0.63999,0.65992,0.66602,0.48507,1.42435,1.51254,1.56293,0.00208,0.00208,0.00208
26,799.449,1.23444,1.32984,1.59766,0.7272,0.6321,0.68324,0.49289,1.49354,1.4878,1.60991,0.00175,0.00175,0.00175
27,831.39,1.24118,1.27651,1.58278,0.71561,0.66002,0.68893,0.50674,1.41062,1.42264,1.54284,0.00142,0.00142,0.00142
28,861.373,1.20527,1.24539,1.56774,0.6863,0.69392,0.69781,0.50501,1.42487,1.42683,1.55587,0.00109,0.00109,0.00109
29,891.263,1.18164,1.21605,1.54309,0.68716,0.69133,0.69876,0.51791,1.36325,1.4043,1.50841,0.00076,0.00076,0.00076
30,921.225,1.17613,1.1801,1.54434,0.71634,0.68494,0.71282,0.52842,1.34353,1.36352,1.49808,0.00043,0.00043,0.00043
